table_schema,table_name,column_name,data_type,is_nullable,column_default,object_type,constraint_name,referenced_table,referenced_column
public,provider_financial_summary,provider_id,uuid,YES,null,View,null,null,null
public,provider_financial_summary,total_bookings,bigint,YES,null,View,null,null,null
public,provider_financial_summary,completed_bookings,bigint,YES,null,View,null,null,null
public,provider_financial_summary,pending_bookings,bigint,YES,null,View,null,null,null
public,provider_financial_summary,confirmed_bookings,bigint,YES,null,View,null,null,null
public,provider_financial_summary,total_revenue,numeric,YES,null,View,null,null,null
public,provider_financial_summary,ndis_revenue,numeric,YES,null,View,null,null,null
public,provider_financial_summary,non_ndis_revenue,numeric,YES,null,View,null,null,null
public,provider_financial_summary,pending_revenue,numeric,YES,null,View,null,null,null
public,provider_financial_summary,upcoming_revenue,numeric,YES,null,View,null,null,null
public,user_favorites_detailed,favorite_id,uuid,YES,null,View,null,null,null
public,user_favorites_detailed,user_id,uuid,YES,null,View,null,null,null
public,user_favorites_detailed,item_id,uuid,YES,null,View,null,null,null
public,user_favorites_detailed,item_type,text,YES,null,View,null,null,null
public,user_favorites_detailed,favorited_at,timestamp with time zone,YES,null,View,null,null,null
public,user_favorites_detailed,user_username,text,YES,null,View,null,null,null
public,user_favorites_detailed,user_avatar_url,text,YES,null,View,null,null,null
public,user_favorites_detailed,item_title,text,YES,null,View,null,null,null
public,user_favorites_detailed,item_description,text,YES,null,View,null,null,null
public,user_favorites_detailed,item_image_url,text,YES,null,View,null,null,null
public,user_favorites_detailed,housing_address,text,YES,null,View,null,null,null
public,user_favorites_detailed,housing_suburb,text,YES,null,View,null,null,null
public,user_favorites_detailed,housing_state,text,YES,null,View,null,null,null
public,user_favorites_detailed,housing_postcode,text,YES,null,View,null,null,null
public,user_favorites_detailed,housing_weekly_rent,numeric,YES,null,View,null,null,null
public,user_favorites_detailed,housing_bedrooms,integer,YES,null,View,null,null,null
public,user_favorites_detailed,housing_bathrooms,integer,YES,null,View,null,null,null
public,user_favorites_detailed,housing_property_type,text,YES,null,View,null,null,null
public,user_favorites_detailed,housing_availability_date,date,YES,null,View,null,null,null
public,user_favorites_detailed,housing_provider_id,uuid,YES,null,View,null,null,null
public,user_favorites_detailed,service_provider_abn,text,YES,null,View,null,null,null
public,user_favorites_detailed,service_provider_verified,boolean,YES,null,View,null,null,null
public,user_favorites_detailed,event_start_time,timestamp with time zone,YES,null,View,null,null,null
public,user_favorites_detailed,event_end_time,timestamp with time zone,YES,null,View,null,null,null
public,user_favorites_detailed,event_location,jsonb,YES,null,View,null,null,null
public,user_favorites_detailed,event_group_id,uuid,YES,null,View,null,null,null
